Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1010010,4,3,10,1,4,4,2,4,1,2,3,17,8025,24,818,1.41,334.38,10.19,1.0000,0.0000,0.0000,0.3800,0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4920,0.2300,0.5600,0.1300,0.0700,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,0.1300,0.3400
1010020,3,2,10,2,2,4,4,2,1,19,5,25,13975,40,1681.5,1.6,349.38,12.03,0.8900,0.1000,0.0200,0.0200,0.0800,0.0000,0.0000,0.0000,0.0600,0.0000,0.1400,0.6990,0.2900,0.5500,0.0900,0.0600,0.4600,0.3500,0.0300,0.0200,0.0100,0.0000,0.0600,0.0000,0.0000,0.0800,0.0000
1014020,2,3,10,2,4,5,6,4,1,23,5,37,23100,63,1950,1.7,366.67,8.44,0.9400,0.0200,0.0400,0.0300,0.5500,0.0000,0.0300,0.0000,0.0000,0.0000,0.0200,0.3790,0.1200,0.3200,0.5600,0.0000,0.2400,0.1200,0.0300,0.0100,0.0100,0.0000,0.0000,0.0200,0.0000,0.5600,0.0000
1014030,4,0,0,0,4,0,0,5,0,0,2,4,1500,4,114,1,375,7.6,1.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.6000,0.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.0000
1014190,4,1,10,2,3,4,4,3,1,10,3,6,8300,13,591,2.17,638.46,7.12,0.6100,0.1400,0.2400,0.0500,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8070,0.0000,0.0500,0.1400,0.8100,0.8100,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1400,0.0000
1017020,4,3,10,2,3,4,5,2,1,13,3,26,18175,41,1705.5,1.58,443.29,9.38,1.0000,0.0000,0.0000,0.0800,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8570,0.2200,0.4500,0.0700,0.2700,0.4900,0.1000,0.0000,0.0100,0.0700,0.0000,0.0000,0.0000,0.0000,0.0700,0.2700
1017110,4,2,10,2,4,1,3,2,1,11,4,17,9950,26,1007.5,1.53,382.69,10.13,0.9800,0.0200,0.0000,0.4500,0.0500,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.4950,0.0700,0.6600,0.0500,0.2300,0.8200,0.0000,0.0200,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.1000
1017160,4,3,10,2,2,4,5,3,0,0,3,8,9300,25,569.5,3.13,372,6.12,0.9400,0.0000,0.0600,0.0400,0.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1670,0.0400,0.0400,0.9000,0.0200,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.9000,0.0300
1017360,4,3,10,2,4,4,6,4,1,17,2,12,26490,27,3113.5,2.25,981.11,11.75,0.9000,0.1000,0.0000,0.3900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6150,0.1100,0.8900,0.0000,0.0000,0.7000,0.2800,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1017460,1,3,5,1,4,7,3,4,1,6,4,13,7455,18,990.5,1.38,414.17,13.29,1.0000,0.0000,0.0000,0.0700,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.4100,0.6100,0.1000,0.1200,0.1700,0.2400,0.4600,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1200,0.0300
